International Journal of Architectural Heritage,INT J ARCHIT HERIT,TAYLOR & FRANCIS INC,1558-3058,1558-3066,"ENGINEERING, CIVIL",SCIE,"2,454",2.3,Q2,1.67,8.88%,
International Journal of Bridge Engineering,INT J BRIDGE ENG,INT JOURNAL BRIDGE ENGINEERING,2241-7443,2241-7443,"ENGINEERING, CIVIL",ESCI,30,0.2,Q4,0.04,0%,
International Journal of Civil Engineering,INT J CIV ENG,SPRINGER INT PUBL AG,1735-0522,2383-3874,"ENGINEERING, CIVIL",SCIE,"2,170",1.8,Q3,0.45,4.53%,
International Journal of Concrete Structures and Materials,INT J CONCR STRUCT M,SPRINGER,1976-0485,2234-1315,"ENGINEERING, CIVIL",SCIE,"2,310",3.6,Q1,0.71,100%,
International Journal of Construction Management,INT J CONSTR MANAG,TAYLOR & FRANCIS LTD,1562-3599,2331-2327,"ENGINEERING, CIVIL",ESCI,"3,602",3.4,Q2,0.74,8.8%,
International Journal of GEOMATE,INT J GEOMATE,GEOMATE INT SOC,2186-2982,2186-2990,"ENGINEERING, CIVIL",ESCI,"1,694",0.9,Q4,0.17,95.66%,
International Journal of Pavement Engineering,INT J PAVEMENT ENG,TAYLOR & FRANCIS LTD,1029-8436,1477-268X,"ENGINEERING, CIVIL",SCIE,"6,969",3.4,Q2,0.89,5.51%,
International Journal of Pavement Research and Technology,INT J PAVEMENT RES T,SPRINGERNATURE,1996-6814,1997-1400,"ENGINEERING, CIVIL",ESCI,"2,099",3,Q2,0.6,4.14%,
International Journal of Protective Structures,INT J PROT STRUCT,SAGE PUBLICATIONS LTD,2041-4196,2041-420X,"ENGINEERING, CIVIL",ESCI,804,2.1,Q2,0.41,20.79%,
International Journal of Steel Structures,INT J STEEL STRUCT,KOREAN SOC STEEL CONSTRUCTION-KSSC,1598-2351,2093-6311,"ENGINEERING, CIVIL",SCIE,"1,955",1.1,Q3,0.27,3.42%,
International Journal of Structural Engineering,INT J STRUCT ENG,INDERSCIENCE ENTERPRISES LTD,1758-7328,1758-7336,"ENGINEERING, CIVIL",ESCI,133,0.7,Q4,0.19,0%,
International Journal of Structural Stability and Dynamics,INT J STRUCT STAB DY,WORLD SCIENTIFIC PUBL CO PTE LTD,0219-4554,1793-6764,"ENGINEERING, CIVIL",SCIE,"4,892",3,Q2,0.84,1.06%,
Iranian Journal of Science and Technology-Transactions of Civil Engineering,IJST-T CIV ENG,SPRINGER INT PUBL AG,2228-6160,2364-1843,"ENGINEERING, CIVIL",SCIE,"1,890",1.7,Q3,0.38,1.17%,
JOURNAL OF ADVANCED TRANSPORTATION,J ADV TRANSPORT,WILEY-HINDAWI,0197-6729,2042-3195,"ENGINEERING, CIVIL",SCIE,"5,800",2,Q2,0.43,99.74%,
JOURNAL OF AEROSPACE ENGINEERING,J AEROSPACE ENG,ASCE-AMER SOC CIVIL ENGINEERS,0893-1321,1943-5525,"ENGINEERING, CIVIL",SCIE,"2,681",1.5,Q3,0.49,0.98%,
JOURNAL OF COLD REGIONS ENGINEERING,J COLD REG ENG,ASCE-AMER SOC CIVIL ENGINEERS,0887-381X,1943-5495,"ENGINEERING, CIVIL",SCIE,732,1.1,Q3,0.3,4.76%,
JOURNAL OF COMPOSITES FOR CONSTRUCTION,J COMPOS CONSTR,ASCE-AMER SOC CIVIL ENGINEERS,1090-0268,1943-5614,"ENGINEERING, CIVIL",SCIE,"7,408",2.9,Q2,0.85,1.57%,
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,ASCE-AMER SOC CIVIL ENGINEERS,0887-3801,1943-5487,"ENGINEERING, CIVIL",SCIE,"5,009",4.7,Q1,1.15,3.57%,
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,J CONSTR ENG M,ASCE-AMER SOC CIVIL ENGINEERS,0733-9364,1943-7862,"ENGINEERING, CIVIL",SCIE,"12,367",4.1,Q1,0.87,2.58%,
JOURNAL OF EARTHQUAKE ENGINEERING,J EARTHQ ENG,TAYLOR & FRANCIS LTD,1363-2469,1559-808X,"ENGINEERING, CIVIL",SCIE,"5,309",2.5,Q2,0.69,2.27%,
JOURNAL OF ENERGY ENGINEERING,J ENERG ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9402,1943-7897,"ENGINEERING, CIVIL",SCIE,"1,270",2,Q2,0.4,0.47%,
JOURNAL OF ENVIRONMENTAL ENGINEERING,J ENVIRON ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9372,1943-7870,"ENGINEERING, CIVIL",SCIE,"5,504",1.6,Q3,0.32,3.89%,
JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9429,1943-7900,"ENGINEERING, CIVIL",SCIE,"11,023",2.1,Q2,0.56,7.06%,
JOURNAL OF HYDRAULIC RESEARCH,J HYDRAUL RES,TAYLOR & FRANCIS LTD,0022-1686,1814-2079,"ENGINEERING, CIVIL",SCIE,"4,719",1.7,Q3,0.51,18.42%,
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,IWA PUBLISHING,1464-7141,1465-1734,"ENGINEERING, CIVIL",SCIE,"2,469",2.2,Q2,0.59,96.54%,
JOURNAL OF HYDROLOGIC ENGINEERING,J HYDROL ENG,ASCE-AMER SOC CIVIL ENGINEERS,1084-0699,1943-5584,"ENGINEERING, CIVIL",SCIE,"5,345",2.2,Q2,0.48,3.5%,
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9437,1943-4774,"ENGINEERING, CIVIL",SCIE,"3,916",1.6,Q3,0.33,3.86%,
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,ASCE-AMER SOC CIVIL ENGINEERS,0742-597X,1943-5479,"ENGINEERING, CIVIL",SCIE,"5,827",5.3,Q1,1.26,2.58%,
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,J MAR SCI TECH-JAPAN,SPRINGER JAPAN KK,0948-4280,1437-8213,"ENGINEERING, CIVIL",SCIE,"2,499",2.7,Q2,0.59,19.25%,
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,J MATER CIVIL ENG,ASCE-AMER SOC CIVIL ENGINEERS,0899-1561,1943-5533,"ENGINEERING, CIVIL",SCIE,"21,601",3.1,Q2,0.68,1.05%,
JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,J PERFORM CONSTR FAC,ASCE-AMER SOC CIVIL ENGINEERS,0887-3828,1943-5509,"ENGINEERING, CIVIL",SCIE,"4,356",2.3,Q2,0.48,1.28%,
JOURNAL OF SHIP RESEARCH,J SHIP RES,SOC NAVAL ARCHITECTS & MARINE ENGINEERS,0022-4502,1542-0604,"ENGINEERING, CIVIL",SCIE,"1,103",1.3,Q3,0.37,0%,
JOURNAL OF STRUCTURAL ENGINEERING,J STRUCT ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9445,1943-541X,"ENGINEERING, CIVIL",SCIE,"26,665",3.7,Q1,0.8,3.58%,
JOURNAL OF SURVEYING ENGINEERING,J SURV ENG,ASCE-AMER SOC CIVIL ENGINEERS,0733-9453,1943-5428,"ENGINEERING, CIVIL",SCIE,745,1.8,Q3,0.39,11.54%,
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,J URBAN PLAN DEV,ASCE-AMER SOC CIVIL ENGINEERS,0733-9488,1943-5444,"ENGINEERING, CIVIL",SCIE,"2,116",1.7,Q3,0.52,2.38%,
JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,J WATER RES PLAN MAN,ASCE-AMER SOC CIVIL ENGINEERS,0733-9496,1943-5452,"ENGINEERING, CIVIL",SCIE,"6,000",3,Q2,0.76,11.81%,
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,ASCE-AMER SOC CIVIL ENGINEERS,0733-950X,1943-5460,"ENGINEERING, CIVIL",SCIE,"2,749",1.4,Q3,0.48,14.19%,
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,J WIND ENG IND AEROD,ELSEVIER,0167-6105,1872-8197,"ENGINEERING, CIVIL",SCIE,"17,977",4.2,Q1,1.08,19.28%,
Jordan Journal of Civil Engineering,JORDAN J CIV ENG,JORDAN UNIV SCIENCE & TECHNOLOGY,1993-0461,2225-157X,"ENGINEERING, CIVIL",ESCI,464,1,Q4,0.24,0%,
Journal AWWA,J AWWA,WILEY,0003-150X,1551-8833,"ENGINEERING, CIVIL",SCIE,"3,208",0.7,Q4,0.14,0%,
Journal of Advanced Concrete Technology,J ADV CONCR TECHNOL,JAPAN CONCRETE INST,1346-8014,1347-3913,"ENGINEERING, CIVIL",SCIE,"2,477",1.6,Q3,0.35,98.1%,
Journal of Applied Engineering Sciences,J APPL ENG SCI,SCIENDO,2247-3769,2284-7197,"ENGINEERING, CIVIL",ESCI,163,1,Q4,0.16,100%,
Journal of Bridge Engineering,J BRIDGE ENG,ASCE-AMER SOC CIVIL ENGINEERS,1084-0702,1943-5592,"ENGINEERING, CIVIL",SCIE,"7,839",3.1,Q2,0.76,1.3%,
Journal of Building Engineering,J BUILD ENG,ELSEVIER,,2352-7102,"ENGINEERING, CIVIL",SCIE,"42,234",6.7,Q1,1.39,9.79%,
Journal of Civil Engineering and Management,J CIV ENG MANAG,VILNIUS GEDIMINAS TECH UNIV,1392-3730,1822-3605,"ENGINEERING, CIVIL",SCIE,"2,735",4.3,Q1,0.79,99.29%,
Journal of Civil Structural Health Monitoring,J CIV STRUCT HEALTH,SPRINGER HEIDELBERG,2190-5452,2190-5479,"ENGINEERING, CIVIL",SCIE,"2,376",3.6,Q1,0.87,18.31%,
Journal of Constructional Steel Research,J CONSTR STEEL RES,ELSEVIER SCI LTD,0143-974X,1873-5983,"ENGINEERING, CIVIL",SCIE,"23,811",4,Q1,0.87,7.23%,
Journal of Hydro-environment Research,J HYDRO-ENVIRON RES,ELSEVIER,1570-6443,1876-4444,"ENGINEERING, CIVIL",SCIE,"1,169",2.4,Q2,0.56,9.47%,
Journal of Hydrology,J HYDROL,ELSEVIER,0022-1694,1879-2707,"ENGINEERING, CIVIL",SCIE,"88,377",5.9,Q1,1.48,17.99%,
Journal of Information Technology in Construction,J INF TECHNOL CONSTR,INT COUNCIL RESEARCH & INNOVATION BUILDING & CONSTRUCTION,1874-4753,1874-4753,"ENGINEERING, CIVIL",ESCI,"1,246",3.6,Q1,0.64,98.58%,
Journal of Infrastructure Systems,J INFRASTRUCT SYST,ASCE-AMER SOC CIVIL ENGINEERS,1076-0342,1943-555X,"ENGINEERING, CIVIL",SCIE,"2,387",2,Q2,0.6,9.36%,
Journal of Pipeline Systems Engineering and Practice,J PIPELINE SYST ENG,ASCE-AMER SOC CIVIL ENGINEERS,1949-1190,1949-1204,"ENGINEERING, CIVIL",SCIE,"1,124",1.8,Q3,0.44,1.14%,
Journal of Structural Integrity and Maintenance,J STRUCT INTEGR MAIN,TAYLOR & FRANCIS LTD,2470-5314,2470-5322,"ENGINEERING, CIVIL",ESCI,345,3,Q2,0.58,12.82%,
Journal of Traffic and Transportation Engineering-English Edition,J TRAFFIC TRANSP ENG,KEAI PUBLISHING LTD,2095-7564,2095-7564,"ENGINEERING, CIVIL",ESCI,"2,246",7.4,Q1,1.01,98.88%,
Journal of Transportation Engineering Part A-Systems,J TRANSP ENG A-SYST,ASCE-AMER SOC CIVIL ENGINEERS,2473-2907,2473-2893,"ENGINEERING, CIVIL",SCIE,"1,527",1.8,Q3,0.45,1.47%,
Journal of Transportation Engineering Part B-Pavements,J TRANSP ENG B-PAVE,ASCE-AMER SOC CIVIL ENGINEERS,,2573-5438,"ENGINEERING, CIVIL",SCIE,869,1.9,Q3,0.46,0.43%,
Journal of the International Association for Shell and Spatial Structures,J INT ASSOC SHELL SP,INT ASSOC SHELL & SPATIAL STRUCTURES-IASS,1028-365X,1996-9015,"ENGINEERING, CIVIL",ESCI,283,1.1,Q3,0.16,0%,
Journal of the South African Institution of Civil Engineering,J S AFR INST CIV ENG,SAICE-SAISI,1021-2019,,"ENGINEERING, CIVIL",SCIE,256,0.4,Q4,0.08,98.48%,
KSCE Journal of Civil Engineering,KSCE J CIV ENG,KOREAN SOCIETY OF CIVIL ENGINEERS-KSCE,1226-7988,1976-3808,"ENGINEERING, CIVIL",SCIE,"8,422",1.9,Q3,0.46,0%,
