COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,PERGAMON-ELSEVIER SCIENCE LTD,0098-1354,1873-4375,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"15,589",3.9,Q2,0.73,22.8%,
COMPUTERS & EDUCATION,COMPUT EDUC,PERGAMON-ELSEVIER SCIENCE LTD,0360-1315,1873-782X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"26,477",8.9,Q1,3.69,27.55%,
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,PERGAMON-ELSEVIER SCIENCE LTD,0045-7906,1879-0755,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"11,137",4,Q2,1.02,4.61%,
COMPUTERS & FLUIDS,COMPUT FLUIDS,PERGAMON-ELSEVIER SCIENCE LTD,0045-7930,1879-0747,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"12,022",2.5,Q3,0.58,24.51%,
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,PERGAMON-ELSEVIER SCIENCE LTD,0098-3004,1873-7803,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"14,689",4.2,Q1,0.83,25.49%,
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,PERGAMON-ELSEVIER SCIENCE LTD,0305-0548,1873-765X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"16,520",4.1,Q2,0.83,22.84%,
COMPUTERS & STRUCTURES,COMPUT STRUCT,PERGAMON-ELSEVIER SCIENCE LTD,0045-7949,1879-2243,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"16,036",4.4,Q1,1.01,21.34%,
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,ELSEVIER SCI LTD,0168-1699,1872-7107,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"37,392",7.7,Q1,2.07,16.52%,
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,ELSEVIER SCI LTD,0266-352X,1873-7633,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"22,614",5.3,Q1,1.34,10.91%,
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,PERGAMON-ELSEVIER SCIENCE LTD,0010-4825,1879-0534,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"26,685",7,Q1,1.8,19.9%,
COMPUTERS IN INDUSTRY,COMPUT IND,ELSEVIER,0166-3615,1872-6194,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"9,349",8.2,Q1,1.66,35.91%,
COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,IEEE COMPUTER SOC,1521-9615,1558-366X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"7,086",1.8,Q3,0.34,32.69%,
Computational Urban Science,COMPUT URBAN SCI,SPRINGERNATURE,,2730-6852,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,216,2.6,Q2,0.51,99.1%,
Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,SPRINGER,1381-298X,1572-9346,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,514,1.8,Q3,0.5,23.73%,
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,ELSEVIER IRELAND LTD,0169-2607,1872-7565,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"18,734",4.9,Q1,1.26,23.61%,
Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices,COMPUT SUPP COOP W J,SPRINGER,0925-9724,1573-7551,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,089",2,Q3,0.4,65.48%,
Computers,COMPUTERS,MDPI,2073-431X,2073-431X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,"1,878",2.6,Q2,0.56,99.84%,
Computers & Industrial Engineering,COMPUT IND ENG,PERGAMON-ELSEVIER SCIENCE LTD,0360-8352,1879-0550,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"32,853",6.7,Q1,1.29,7.86%,
Computers and Concrete,COMPUT CONCRETE,TECHNO-PRESS,1598-8198,1598-818X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"2,215",2.9,Q2,1.09,0%,
Computers and Education Open,COMPUT EDUC OPEN,ELSEVIER,2666-5573,2666-5573,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,400,4.1,Q2,1.15,83.87%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
Current Computer-Aided Drug Design,CURR COMPUT-AID DRUG,BENTHAM SCIENCE PUBL LTD,1573-4099,1875-6697,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,104",1.5,Q3,0.37,1.26%,
Cybersecurity,CYBERSECURITY,SPRINGERNATURE,2523-3246,2523-3246,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,668,3.9,Q2,0.84,100%,
Data-Centric Engineering,DATA-CENTRIC ENG,CAMBRIDGE UNIV PRESS,,2632-6736,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,216,2.4,Q3,0.64,100%,
Digital Discovery,DIGIT DISCOV,ROYAL SOC CHEMISTRY,,2635-098X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,650,6.2,Q1,1.1,100%,
ENGINEERING COMPUTATIONS,ENG COMPUTATION,EMERALD GROUP PUBLISHING LTD,0264-4401,1758-7077,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"2,729",1.5,Q3,1.53,0.86%,
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,ELSEVIER SCI LTD,1364-8152,1873-6726,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"17,357",4.8,Q1,0.91,47.15%,
