COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,PERGAMON-ELSEVIER SCIENCE LTD,0098-3004,1873-7803,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"14,689",4.2,Q1,0.83,25.49%,
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,ELSEVIER SCI LTD,0266-352X,1873-7633,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"22,614",5.3,Q1,1.34,10.91%,
China Geology,CHINA GEOL,KEAI PUBLISHING LTD,2096-5192,2096-5192,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,"1,201",4.6,Q1,0.98,94.67%,
Climate of the Past,CLIM PAST,COPERNICUS GESELLSCHAFT MBH,1814-9324,1814-9332,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"6,183",3.8,Q1,1.0,99.74%,
Communications Earth & Environment,COMMUN EARTH ENVIRON,SPRINGERNATURE,,2662-4435,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"5,591",8.1,Q1,1.85,99.8%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
Cryosphere,CRYOSPHERE,COPERNICUS GESELLSCHAFT MBH,1994-0416,1994-0424,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"12,032",4.4,Q1,1.32,99.52%,
Czech Polar Reports,CZECH POLAR REP,MASARYK UNIV PRESS,1805-0689,1805-0697,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,121,0.5,Q4,0.17,98.48%,
DOKLADY EARTH SCIENCES,DOKL EARTH SCI,MAIK NAUKA/INTERPERIODICA/SPRINGER,1028-334X,1531-8354,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,799",0.7,Q4,0.2,12.55%,
EARTH,EARTH-BASEL,MDPI,,2673-4834,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,334,2.1,Q3,0.42,100%,
EARTH MOON AND PLANETS,EARTH MOON PLANETS,SPRINGER,0167-9295,1573-0794,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,601,0.7,Q4,0.21,20%,
EARTH PLANETS AND SPACE,EARTH PLANETS SPACE,SPRINGER,,1880-5981,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"6,727",3.0,Q2,0.8,100%,
EARTH SCIENCES HISTORY,EARTH SCI HIST,HISTORY EARTH SCIENCES SOC,0736-623X,1944-6187,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,108,0.3,Q4,0.23,0%,
EARTH SURFACE PROCESSES AND LANDFORMS,EARTH SURF PROC LAND,WILEY,0197-9337,1096-9837,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"13,868",2.8,Q2,0.85,35.98%,
EARTH-SCIENCE REVIEWS,EARTH-SCI REV,ELSEVIER,0012-8252,1872-6828,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"36,702",10.8,Q1,1.93,32.05%,
ENGINEERING GEOLOGY,ENG GEOL,ELSEVIER,0013-7952,1872-6917,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"32,261",6.9,Q1,1.85,16.39%,
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,ENVIRON ENG GEOSCI,"GEOLOGICAL SOC AMER, INC",1078-7275,1558-9161,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,678,1.0,Q4,0.19,0%,
ENVIRONMENTAL ARCHAEOLOGY,ENVIRON ARCHAEOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1461-4103,1749-6314,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,802,1.2,Q3,0.81,21.88%,
EPISODES,EPISODES,GEOLOGICAL SOC KOREA,0705-3797,,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,591",2.2,Q2,0.65,100%,
ERDE,ERDE,GESELLSCHAFT ERDKUNDE BERLIN,0013-9998,0013-9998,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,317,1.2,Q3,0.46,0%,
